Cow_ID,Day,Breed,Months after giving birth,Previous_Mastits_status,IUFL,EUFL,IUFR,EUFR,IURL,EURL,IURR,EURR,Temperature,Hardness,Pain,Milk_visibility,class1,Rumination_Time_min,Eating_Time_min,Lying_Time_hr,Steps_Per_Day,SCC_K_cells_per_mL,Milk_Conductivity_mS,Milk_Yield_L
cow1,1,Jersey,1,0,203,221,196,225,202,236,192,223,38.4,0.0,0.0,0,0,532.2,403.2,9.6,3235,58.0,4.9,19.5
cow1,2,Jersey,1,0,197,227,200,232,195,224,204,224,38.5,0.0,0.0,0,0,478.4,349.5,10.4,3080,17.2,5.8,19.4
cow1,3,Jersey,1,0,199,231,199,230,201,227,194,238,38.6,0.0,0.0,0,0,550.0,409.6,11.0,3478,116.9,4.7,19.4
cow1,4,Jersey,1,0,201,234,195,229,191,232,202,230,38.5,0.0,0.0,0,0,557.6,406.6,11.1,3755,54.1,2.5,19.5
cow1,5,Jersey,1,0,195,232,198,232,197,229,189,223,38.5,0.0,0.0,0,0,442.0,346.1,11.3,3271,99.0,6.1,19.2
cow1,6,Jersey,1,0,202,228,196,219,199,221,194,229,38.8,0.0,0.0,0,0,467.9,324.6,12.7,3180,157.4,3.8,19.1
cow2,1,Jersey,1,0,203,238,194,227,201,221,199,241,38.6,0.0,0.0,0,0,525.1,380.4,13.0,3296,93.4,4.6,20.9
cow2,2,Jersey,1,0,193,226,204,229,188,229,198,226,38.2,0.0,0.0,0,0,507.4,371.4,13.9,3187,99.7,4.6,20.0
cow2,3,Jersey,1,0,203,235,197,226,195,222,207,228,38.9,0.0,0.0,0,0,519.3,390.8,9.6,3020,43.6,4.7,22.4
cow2,4,Jersey,1,0,200,230,190,240,195,223,201,229,38.5,0.0,0.0,0,0,485.9,348.2,10.5,2988,129.4,4.5,19.7
cow2,5,Jersey,1,0,185,224,192,235,198,227,201,228,38.5,0.0,0.0,0,0,555.2,356.1,12.3,2591,69.7,4.6,20.0
cow2,6,Jersey,1,0,198,244,193,221,200,225,185,222,38.6,0.0,0.0,0,0,551.1,379.2,11.0,3336,20.0,3.4,19.0
cow3,1,Jersey,3,0,191,231,192,234,195,221,196,225,38.6,0.0,0.0,0,1,297.6,255.5,14.5,1287,3886.3,10.1,12.0
cow3,2,Jersey,3,0,219,231,210,259,193,236,200,234,38.8,0.0,0.0,0,1,340.1,283.2,13.7,1880,4972.1,8.5,13.2
cow3,3,Jersey,3,0,225,228,207,254,199,227,199,220,39.2,1.0,1.0,1,1,313.7,296.5,15.4,1666,6582.5,8.0,12.9
cow3,4,Jersey,3,0,235,240,200,272,203,230,203,233,39.4,0.0,1.0,1,1,260.6,244.9,14.8,1050,9999.0,9.5,12.2
cow3,5,Jersey,3,0,239,229,195,278,193,230,193,236,40.3,1.0,1.0,1,1,309.8,265.3,14.8,1799,3721.7,7.1,12.3
cow3,6,Jersey,3,0,249,226,188,288,203,234,199,230,40.5,1.0,1.0,1,1,256.6,231.4,13.0,276,3019.2,8.7,15.1
cow4,1,Jersey,1,0,197,225,199,230,203,233,196,238,38.7,0.0,0.0,0,0,555.1,421.0,11.4,3772,168.8,4.1,20.6
cow4,2,Jersey,1,0,188,232,199,216,195,234,202,232,38.3,0.0,0.0,0,0,518.0,368.2,11.1,2465,43.0,4.8,19.7
cow4,3,Jersey,1,0,201,228,186,221,194,228,204,228,38.7,0.0,0.0,0,0,512.6,373.0,9.7,3198,25.0,4.8,19.4
